Cpu,mae,mse,rmse,File,population,generation,crossover,pc
0.979929,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,138,13,0.17,0.31
5.056080000000001,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,283,35,0.69,0.72
5.438396,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,278,39,0.69,0.05
0.939095,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,55,32,0.63,0.09
5.250758,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,239,45,0.15,0.24
4.446839000000001,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,185,44,0.72,0.05
6.738371,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,403,33,0.72,0.36
5.643448,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,457,23,0.93,0.05
1.515505,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,109,29,0.28,0.42
6.095428999999999,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,246,48,0.83,0.59
2.7720800000000003,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,129,47,0.07,0.58
1.8486390000000001,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,253,15,0.73,0.66
2.7712649999999996,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,389,16,0.41,0.6
3.1526850000000004,0.5362724845991633,0.40362906397262055,0.6353180809426255,Hill_Valley_with_noise.csv,431,16,0.7,0.54
1.2474029999999998,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,156,17,0.03,0.71
4.234741,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,318,35,0.1,0.99
2.0604329999999997,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,289,14,0.64,0.8
6.308365,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,403,33,0.32,1.0
6.834781,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,371,38,0.57,0.27
7.04958,0.4470588235294118,0.4470588235294118,0.6686245759238975,Hill_Valley_with_noise.csv,485,30,0.7,0.03
1.362899,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,60,41,0.96,0.25
6.512158,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,297,46,0.49,0.42
0.871011,0.46712666790987356,0.4307187971703777,0.6562917012810521,Hill_Valley_with_noise.csv,138,13,0.17,0.31
4.8229500000000005,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,283,35,0.69,0.72
5.489593,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,278,39,0.69,0.05
0.9382599999999999,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,55,32,0.63,0.09
4.680323,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,239,45,0.15,0.24
4.406941,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,185,44,0.72,0.05
6.693157,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,403,33,0.72,0.36
5.783341,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,457,23,0.93,0.05
5.581447,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,246,48,0.83,0.59
1.4098220000000001,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,109,29,0.28,0.42
2.6260130000000004,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,129,47,0.07,0.58
1.7541869999999997,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,253,15,0.73,0.66
3.0590439999999997,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,431,16,0.7,0.54
1.0413129999999997,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,156,17,0.03,0.71
2.591978,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,389,16,0.41,0.6
3.966734,0.6477640100164103,0.6667954445064499,0.8165754371192229,Hill_Valley_with_noise.csv,318,35,0.1,0.99
2.21925,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,289,14,0.64,0.8
6.658946,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,403,33,0.32,1.0
7.366774,0.49108235177371445,0.24817573634703755,0.49817239621142956,Hill_Valley_with_noise.csv,485,30,0.7,0.03
7.435009,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,371,38,0.57,0.27
1.4185349999999999,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,60,41,0.96,0.25
7.4788429999999995,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,297,46,0.49,0.42
0.9576310000000001,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,138,13,0.17,0.31
5.4823770000000005,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,283,35,0.69,0.72
6.133579,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,278,39,0.69,0.05
0.9529080000000001,0.49108235177371445,0.24817573634703755,0.49817239621142956,Hill_Valley_with_noise.csv,55,32,0.63,0.09
5.405979,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,239,45,0.15,0.24
4.060654,0.49108235177371445,0.24817573634703755,0.49817239621142956,Hill_Valley_with_noise.csv,185,44,0.72,0.05
5.577157,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,457,23,0.93,0.05
6.940364,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,403,33,0.72,0.36
1.5045049999999998,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,109,29,0.28,0.42
5.862988,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,246,48,0.83,0.59
2.640485,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,129,47,0.07,0.58
1.850183,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,253,15,0.73,0.66
2.963988,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,389,16,0.41,0.6
3.4642219999999995,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,431,16,0.7,0.54
1.285498,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,156,17,0.03,0.71
4.357857,0.5529411764705883,0.5529411764705883,0.7436001455557875,Hill_Valley_with_noise.csv,318,35,0.1,0.99
2.15386,0.543071465570802,0.4864248097863877,0.6974416174751745,Hill_Valley_with_noise.csv,289,14,0.64,0.8
6.487315,0.5647058823529412,0.5647058823529412,0.7514691493021793,Hill_Valley_with_noise.csv,403,33,0.32,1.0
7.094669,0.5647058823529412,0.5647058823529412,0.7514691493021793,Hill_Valley_with_noise.csv,371,38,0.57,0.27
7.425718999999999,0.5647058823529412,0.5647058823529412,0.7514691493021793,Hill_Valley_with_noise.csv,485,30,0.7,0.03
1.3827779999999998,0.5407531293684444,0.48582284051878905,0.6970099285654323,Hill_Valley_with_noise.csv,60,41,0.96,0.25
7.203339,0.543071465570802,0.4864248097863877,0.6974416174751745,Hill_Valley_with_noise.csv,297,46,0.49,0.42
0.9379090000000001,0.43529411764705883,0.43529411764705883,0.6597682302498801,Hill_Valley_with_noise.csv,138,13,0.17,0.31
5.288519,0.5420778517366825,0.4870639917102156,0.6978997003224858,Hill_Valley_with_noise.csv,283,35,0.69,0.72
0.904047,0.5405981341890881,0.4850553149340309,0.6964591265350975,Hill_Valley_with_noise.csv,55,32,0.63,0.09
5.9528490000000005,0.5440391474385988,0.4879674667946942,0.6985466819008549,Hill_Valley_with_noise.csv,278,39,0.69,0.05
5.189657,0.5420778517366825,0.4870639917102156,0.6978997003224858,Hill_Valley_with_noise.csv,239,45,0.15,0.24
