Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.022394999999999943,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,7536.28,16.73,0.41,600
0.02580499999999997,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,8462.34,16.04,0.7,541
0.02777699999999994,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,4516.87,13.77,0.73,655
0.01563899999999996,7.8494349892500725,61.87469626248062,7.86604705442833,strogatz_lv2.csv,2359.71,19.55,0.02,707
0.01497999999999999,7.849434989250074,61.87469626248065,7.866047054428332,strogatz_lv2.csv,5958.27,62.27,0.09,995
0.017229999999999968,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,5310.51,11.08,0.63,798
0.021148999999999862,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,9661.79,51.04,0.7,21
0.02364300000000008,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,7129.93,70.31,0.56,259
0.023063999999999862,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,7835.71,58.48,0.32,997
0.018649999999999944,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,232.15,75.81,0.96,240
0.023357000000000072,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,5069.42,72.71,0.68,38
0.022007,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,5181.09,63.15,0.69,713
0.03030900000000003,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,5487.92,88.91,0.48,417
0.01910899999999993,0.5767629409768091,0.35919794470578753,0.5993312478970102,strogatz_barmag1.csv,1956.73,8.97,0.16,303
0.021487000000000037,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,4200.98,85.5,0.14,230
0.019676999999999945,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,7843.38,57.55,0.71,358
0.02968700000000002,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,9038.01,32.16,0.93,39
0.019036000000000053,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,4362.05,92.84,0.82,591
0.022367000000000026,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,1321.57,48.31,0.27,415
0.02564699999999986,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,1764.61,92.11,0.06,574
0.027216000000000014,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,111.6,54.33,0.63,85
0.018797000000000064,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,8462.34,16.04,0.7,541
0.02073999999999998,0.5767629409768131,0.3591979447057921,0.5993312478970141,strogatz_barmag1.csv,3007.96,83.0,0.72,37
0.02538600000000002,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,7536.28,16.73,0.41,600
0.02486900000000003,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,4516.87,13.77,0.73,655
0.016469999999999985,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,5958.27,62.27,0.09,995
0.016108000000000008,0.5767629409768096,0.3591979447057881,0.5993312478970106,strogatz_barmag1.csv,2359.71,19.55,0.02,707
