Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.009965999999999921,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,12.78,4.76,949.19,18
0.00990000000000002,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,6.78,5.74,160.85,10
0.009622999999999935,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,18.25,14.02,185.3,64
0.009878999999999971,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,6.13,7.2,383.3,30
0.009606999999999921,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,14.43,17.44,153.92,75
0.009604999999999976,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,3.1,10.61,509.74,53
0.010539999999999994,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,1.24,5.87,139.8,94
0.010827000000000031,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,8.72,14.98,556.3,23
0.011024000000000034,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,1.9,11.3,272.77,95
0.011229000000000045,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,19.7,12.19,176.34,14
0.00976100000000002,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,7.01,12.66,352.84,48
0.009515000000000051,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,2.94,14.16,587.68,64
0.009460000000000024,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,14.13,4.44,492.51,95
0.009419999999999984,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,4.48,13.27,923.94,98
0.01176900000000003,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,16.4,1.77,294.48,54
0.011765999999999943,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,3.61,6.44,774.09,33
0.011790999999999996,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,14.8,17.78,923.01,75
0.011917999999999984,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,9.86,6.44,115.17,67
0.009592000000000043,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,15.2,18.42,409.36,8
0.009481000000000073,0.5,0.25,0.5,analcatdata_cyyoung9302.csv,15.96,13.82,719.58,5
0.010014999999999996,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,12.78,4.76,949.19,18
0.00973500000000005,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,12.58,16.38,299.66,73
0.009565999999999963,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,5.66,11.56,692.71,72
0.009477999999999986,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,6.78,5.74,160.85,10
0.01348500000000008,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,18.25,14.02,185.3,64
0.014562999999999991,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,6.13,7.2,383.3,30
0.015299999999999982,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,3.1,10.61,509.74,53
0.015739999999999976,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,14.43,17.44,153.92,75
0.013068999999999996,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,1.9,11.3,272.77,95
0.011672999999999932,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,1.24,5.87,139.8,94
0.012209000000000024,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,8.72,14.98,556.3,23
0.012517,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,19.7,12.19,176.34,14
0.010129000000000056,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,4.48,13.27,923.94,98
0.010486999999999913,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,2.94,14.16,587.68,64
0.013528999999999902,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,14.13,4.44,492.51,95
0.012751999999999986,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,7.01,12.66,352.84,48
0.009626000000000023,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,16.4,1.77,294.48,54
0.009560000000000013,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,14.8,17.78,923.01,75
0.009696000000000038,0.221809424846291,0.10521267847713382,0.32436503892548874,strogatz_barmag2.csv,3.61,6.44,774.09,33
